# [H cm^-3] [K] [ergs cm^-3] [s] [dimensionless]
rho temperature pressure cooling_time HI_fraction
1.0000000000e-06 1.3331250336e+05 3.0852594182e-17 1.0461052170e+22 1.2081072332e-06 1
1.0391223038e-06 1.2562357851e+05 3.0210171594e-17 0.0000000000e+00 1.3275786350e-06 1
1.0797751623e-06 1.1899599982e+05 2.9735575792e-17 1.2903869076e+22 1.4512127651e-06 1
1.1220184543e-06 1.1352452424e+05 2.9477776761e-17 1.0104298447e+22 1.5751644831e-06 1
1.1659144012e-06 1.0845703561e+05 2.9263381561e-17 9.9161246096e+21 1.7072274530e-06 1
1.2115276586e-06 1.0389382939e+05 2.9128508496e-17 1.6166782104e+21 1.8454161393e-06 1
1.2589254118e-06 9.9566747259e+04 2.9007007894e-17 1.3198038329e+22 1.9937805412e-06 1
1.3081774743e-06 9.5636725382e+04 2.8951725802e-17 1.8470608880e+21 2.1492237915e-06 1
1.3593563909e-06 9.0388703208e+04 2.8432978028e-17 4.2330194075e+21 2.3526634428e-06 1
1.4125375446e-06 8.5067415185e+04 2.7805397652e-17 0.0000000000e+00 2.5850833270e-06 1
1.4677992676e-06 8.0516298524e+04 2.7346910443e-17 2.5434019394e+21 2.8243844269e-06 1
1.5252229565e-06 7.6457867652e+04 2.6983831693e-17 0.0000000000e+00 3.0755737639e-06 1
1.5848931925e-06 7.3244741687e+04 2.6860629024e-17 5.6966032126e+21 3.3211852816e-06 1
1.6468978655e-06 7.0437257116e+04 2.6841110279e-17 7.2476625161e+20 3.5731670900e-06 1
1.7113283042e-06 6.7720888855e+04 2.6814926734e-17 0.0000000000e+00 3.8446293868e-06 1
1.7782794100e-06 6.5296217488e+04 2.6865772064e-17 1.3292368412e+21 4.1254125070e-06 1
1.8478497974e-06 6.3112224676e+04 2.6982488079e-17 4.7422394561e+20 4.4164176063e-06 1
1.9201419386e-06 6.1120349954e+04 2.7152431497e-17 2.6394741701e+21 4.7191452150e-06 1
1.9952623150e-06 5.9378123704e+04 2.7409788702e-17 3.2418508040e+21 5.0280083876e-06 1
2.0733215735e-06 5.7828007977e+04 2.7737899434e-17 8.3157045774e+20 5.3449429586e-06 1
2.1544346900e-06 5.5819117706e+04 2.7820838429e-17 0.0000000000e+00 5.7267731552e-06 1
2.2387211386e-06 5.4003659364e+04 2.7968173864e-17 1.0740233793e+21 6.1227401804e-06 1
2.3263050672e-06 5.2397665070e+04 2.8197226866e-17 7.6136960613e+20 6.5288368078e-06 1
2.4173154808e-06 5.0806527395e+04 2.8409508101e-17 2.0004601115e+21 6.9650726122e-06 1
2.5118864315e-06 4.9408374317e+04 2.8707598548e-17 5.5047882012e+21 7.4108894689e-06 1
2.6101572157e-06 4.8175582012e+04 2.9085404882e-17 1.1019228415e+21 7.8666125785e-06 1
2.7122725793e-06 4.7003959773e+04 2.9487226829e-17 2.4003845044e+20 8.3452023226e-06 1
2.8183829313e-06 4.5848660803e+04 2.9886338538e-17 1.4707407443e+21 8.8542690004e-06 1
2.9286445646e-06 4.4823866304e+04 3.0360223437e-17 8.4546582112e+20 9.3756514508e-06 1
3.0432198871e-06 4.3885857915e+04 3.0886548479e-17 4.5890990815e+20 9.9149774881e-06 1
3.1622776602e-06 4.2979165577e+04 3.1430504607e-17 2.1059574452e+20 1.0482498547e-05 1
3.2859932476e-06 4.2066198480e+04 3.1964618788e-17 0.0000000000e+00 1.1087307514e-05 1
3.4145488738e-06 4.1151746861e+04 3.2491541499e-17 0.0000000000e+00 1.1731982584e-05 1
3.5481338923e-06 4.0306732407e+04 3.3067762155e-17 5.3608544633e+20 1.2400651531e-05 1
3.6869450645e-06 3.9520344453e+04 3.3689339089e-17 2.5206968052e+20 1.3095401833e-05 1
3.8311868496e-06 3.8774491779e+04 3.4344860346e-17 1.3350025555e+20 1.3821085697e-05 1
3.9810717055e-06 3.8036696160e+04 3.5007003415e-17 1.6357923089e+22 1.4587818101e-05 1
4.1368204024e-06 3.7366144469e+04 3.5733190612e-17 0.0000000000e+00 1.5378922371e-05 1
4.2986623471e-06 3.6748287375e+04 3.6514977658e-17 2.8147480286e+20 1.6197494217e-05 1
4.4668359215e-06 3.6138329107e+04 3.7311412516e-17 2.3668399167e+20 1.7060189908e-05 1
4.6415888336e-06 3.5538156238e+04 3.8124740413e-17 9.6516285058e+19 1.7968522919e-05 1
4.8231784822e-06 3.4940692915e+04 3.8946939779e-17 0.0000000000e+00 1.8927057721e-05 1
5.0118723363e-06 3.4409638598e+04 3.9852657353e-17 0.0000000000e+00 1.9910226654e-05 1
5.2079483286e-06 3.3918680185e+04 4.0817891104e-17 0.0000000000e+00 2.0927869533e-05 1
5.4116952655e-06 3.3433384836e+04 4.1804709992e-17 4.7135451604e+20 2.1997816829e-05 1
5.6234132519e-06 3.2929258371e+04 4.2781754367e-17 4.1505231809e+20 2.3137069590e-05 1
5.8434141337e-06 3.2406264161e+04 4.3745731638e-17 1.1072543392e+20 2.4350988338e-05 1
6.0720219569e-06 3.1925996045e+04 4.4779605101e-17 4.8503089981e+19 2.5605454170e-05 1
6.3095734448e-06 3.1435329708e+04 4.5810984364e-17 3.0181330276e+20 2.6934312579e-05 1
6.5564184942e-06 3.0996757400e+04 4.6934575162e-17 0.0000000000e+00 2.8300347189e-05 1
6.8129206906e-06 3.0599460699e+04 4.8140884872e-17 1.3861907731e+20 2.9707588342e-05 1
7.0794578438e-06 3.0218614940e+04 4.9396634838e-17 1.1879562777e+20 3.1174857067e-05 1
7.3564225446e-06 2.9773220995e+04 5.0567167605e-17 1.0272423970e+20 3.2775763568e-05 1
7.6442227425e-06 2.9366676666e+04 5.1822237909e-17 3.7043018330e+19 3.4427482093e-05 1
7.9432823472e-06 2.8939492917e+04 5.3058401119e-17 2.3941554290e+20 3.6184883930e-05 1
8.2540418527e-06 2.8553209770e+04 5.4391550731e-17 0.0000000000e+00 3.7997274317e-05 1
8.5769589859e-06 2.8197326104e+04 5.5807959952e-17 1.3121695213e+20 3.9871480148e-05 1
8.9125093813e-06 2.7846354950e+04 5.7261968331e-17 2.0231004391e+20 4.1836821135e-05 1
9.2611872813e-06 2.7510627816e+04 5.8776814330e-17 1.2892395631e+20 4.3884619271e-05 1
9.6235062640e-06 2.7125122554e+04 6.0211922240e-17 6.1172750026e+19 4.6104995624e-05 1
1.0000000000e-05 2.6765905868e+04 6.1729948301e-17 2.7862288790e+19 4.8406582218e-05 1
1.0391223038e-05 2.6387324152e+04 6.3225096178e-17 1.4898958428e+20 5.0852501985e-05 1
1.0797751623e-05 2.6046280968e+04 6.4838952036e-17 1.9735175042e+20 5.3374796829e-05 1
1.1220184543e-05 2.5723492286e+04 6.6529488375e-17 1.2286196086e+20 5.5997903059e-05 1
1.1659144012e-05 2.5414183444e+04 6.8289292781e-17 9.5965008966e+19 5.8731833556e-05 1
1.2115276586e-05 2.5117097718e+04 7.0119002274e-17 8.9247431818e+19 6.1581921668e-05 1
1.2589254118e-05 2.4795576926e+04 7.1916209421e-17 2.4209214771e+19 6.4626886868e-05 1
1.3081774743e-05 2.4446989163e+04 7.3661027485e-17 0.0000000000e+00 6.7878417331e-05 1
1.3593563909e-05 2.4151014861e+04 7.5600830410e-17 2.1079811486e+20 7.1192197797e-05 1
1.4125375446e-05 2.3867179900e+04 7.7619144016e-17 1.1699498610e+20 7.4645986816e-05 1
1.4677992676e-05 2.3591722723e+04 7.9707784266e-17 2.4436672153e+20 7.8252946108e-05 1
1.5252229565e-05 2.3334843363e+04 8.1906299745e-17 5.6688918924e+19 8.1991390211e-05 1
1.5848931925e-05 2.3081148068e+04 8.4166262715e-17 7.8533309416e+19 8.5906875780e-05 1
1.6468978655e-05 2.2829265328e+04 8.6484561959e-17 3.9576211692e+19 9.0011804948e-05 1
1.7113283042e-05 2.2554720915e+04 8.8765888394e-17 1.9492272135e+19 9.4394011932e-05 1
1.7782794100e-05 2.2264279072e+04 9.1021372775e-17 5.5561424768e+20 9.9033650991e-05 1
1.8478497974e-05 2.2003982098e+04 9.3451861445e-17 1.4065785769e+20 1.0382327547e-04 1
1.9201419386e-05 2.1755762692e+04 9.5986393219e-17 4.8691038955e+19 1.0880816951e-04 1
1.9952623150e-05 2.1513544586e+04 9.8603861352e-17 4.1251769353e+19 1.1401899002e-04 1
2.0733215735e-05 2.1280246420e+04 1.0132150781e-16 3.4690117068e+19 1.1945115391e-04 1
2.1544346900e-05 2.1073989679e+04 1.0423480758e-16 2.0706820362e+19 1.2503030875e-04 1
2.2387211386e-05 2.0868355600e+04 1.0722418737e-16 2.2744272257e+19 1.3087690925e-04 1
2.3263050672e-05 2.0642389129e+04 1.1017888638e-16 1.2003137589e+19 1.3710970814e-04 1
