### GRACKLE THERMAL EQUILIBRIUM
# [H cm^-3] [K] [ergs cm^-3] [s] [dimensionless]
rho temperature pressure cooling_time ne_per_H
1.0000000000e-06 4.6607754234e+04 5.2352606851e-18 -3.3309911307e+17 1.1345972368e+00 1
1.0391223038e-06 4.6611007531e+04 5.4404558703e-18 -3.3068168437e+17 1.1345917863e+00 1
1.0797751623e-06 4.6610595958e+04 5.6532491196e-18 -3.2808309631e+17 1.1345861257e+00 1
1.1220184543e-06 4.6612551890e+04 5.8746637588e-18 -3.2521590916e+17 1.1345802430e+00 1
1.1659144012e-06 4.6612831189e+04 6.1045307170e-18 -3.2212866184e+17 1.1345741321e+00 1
1.2115276586e-06 4.6613683898e+04 6.3434700643e-18 -3.1878675369e+17 1.1345677832e+00 1
1.2589254118e-06 4.6616367210e+04 6.5920206747e-18 -3.1517072912e+17 1.1345611849e+00 1
1.3081774743e-06 4.6619841516e+04 6.8504262330e-18 -3.1129242743e+17 1.1345543290e+00 1
1.3593563909e-06 4.6616155931e+04 7.1178679337e-18 -3.0665848743e+17 1.1345474760e+00 1
1.4125375446e-06 4.6616289291e+04 7.3963564851e-18 -3.0032156182e+17 1.1345398124e+00 1
1.4677992676e-06 4.6618233822e+04 7.6860395896e-18 -2.9352936296e+17 1.1345321924e+00 1
1.5252229565e-06 4.6623185536e+04 7.9875835039e-18 -2.8636645352e+17 1.1345241284e+00 1
1.5848931925e-06 4.6587306834e+04 8.2936888793e-18 -2.7933799904e+17 1.1345157993e+00 1
1.6468978655e-06 4.6614885896e+04 8.6232589291e-18 -2.7123807302e+17 1.1345072111e+00 1
1.7113283042e-06 4.6623712684e+04 8.9623174285e-18 -2.6309382373e+17 1.1344982393e+00 1
1.7782794100e-06 4.6618076251e+04 9.3118180737e-18 -2.5485334545e+17 1.1344889239e+00 1
1.8478497974e-06 4.6616002910e+04 9.6756875039e-18 -2.4635556452e+17 1.1344792610e+00 1
1.9201419386e-06 4.6609384854e+04 1.0052795296e-17 -2.3772316793e+17 1.1344692144e+00 1
1.9952623150e-06 4.6608641305e+04 1.0445917164e-17 -2.2889739482e+17 1.1344587719e+00 1
2.0733215735e-06 4.6605121459e+04 1.0853765780e-17 -2.1999900777e+17 1.1344479207e+00 1
2.1544346900e-06 4.6603884102e+04 1.1278090663e-17 -2.1102630429e+17 1.1344366415e+00 1
2.2387211386e-06 4.6585666374e+04 1.1714734405e-17 -2.0216229077e+17 1.1344249650e+00 1
2.3263050672e-06 4.6596279956e+04 1.2175815180e-17 -1.9312302928e+17 1.1344126421e+00 1
2.4173154808e-06 4.6588255619e+04 1.2649982294e-17 -1.8426069173e+17 1.1344001628e+00 1
2.5118864315e-06 4.6583486779e+04 1.3143533217e-17 -1.7549515743e+17 1.1343868464e+00 1
2.6101572157e-06 4.6576177585e+04 1.3655595545e-17 -1.6686185741e+17 1.1343733117e+00 1
2.7122725793e-06 4.6568844339e+04 1.4187599767e-17 -1.5839814158e+17 1.1343591296e+00 1
2.8183829313e-06 4.6563731857e+04 1.4741032858e-17 -1.5012489291e+17 1.1343441403e+00 1
2.9286445646e-06 4.6555260568e+04 1.5314949286e-17 -1.4206825462e+17 1.1343290042e+00 1
3.0432198871e-06 4.6545815851e+04 1.5910876873e-17 -1.3425847925e+17 1.1343131158e+00 1
3.1622776602e-06 4.6537150767e+04 1.6530269143e-17 -1.2670768331e+17 1.1342963542e+00 1
3.2859932476e-06 4.6525695710e+04 1.7172743267e-17 -1.1942330414e+17 1.1342793793e+00 1
3.4145488738e-06 4.6514232815e+04 1.7840184040e-17 -1.1242483549e+17 1.1342614785e+00 1
3.5481338923e-06 4.6498344981e+04 1.8531801083e-17 -1.0572299475e+17 1.1342430932e+00 1
3.6869450645e-06 4.6485111736e+04 1.9251327424e-17 -9.9307472793e+16 1.1342237923e+00 1
3.8311868496e-06 4.6471822960e+04 1.9998764990e-17 -9.3182577149e+16 1.1342038709e+00 1
3.9810717055e-06 4.6457240709e+04 2.0774641893e-17 -8.7352876798e+16 1.1341833178e+00 1
4.1368204024e-06 4.6436886992e+04 2.1577935936e-17 -8.1840226666e+16 1.1341610270e+00 1
